"Run","HasBest","Status","Evidence"
"20260608_154543__026__train_coarse_delta_detail_tight_nw0_20260608","True","UNCLEAR","训练配置: |   Skeleton loss: disabled (weight=0.0) | Epoch 1/60, LR: 5e-05, Train Loss: 0.7477, Val Loss: 0.6593, Surface IoU: 0.1850, Surface F1: 0.3123, Precision"
"20260609_101136__027__train_surface_coverage_nw0_20260609","True","UNCLEAR","训练配置: |   Skeleton prediction head: removed"
"20260609_153714__028__train_skeleton_gate_loss0_nw0_20260609","True","UNCLEAR","训练配置: |   Skeleton prediction head: enabled (structure only, loss weight=0)"
"20260609_235919__029__train_old_edge_guided_head_nw0_20260609","True","UNCLEAR","训练配置: |   Skeleton prediction head: enabled (loss weight=0.3) | Epoch 1/60, LR: 5e-05, Train Loss: 1.0562, Val Loss: 0.8753, Surface IoU: 0.1574, Surface F1: 0."
"20260610_155610__030__debug_nan_guard_smoke_20260610","True","UNCLEAR","训练配置: |   Skeleton prediction head: enabled (loss weight=0.3) | Epoch 1/1, LR: 5e-05, Train Loss: 2.3870, Val Loss: 2.3375, Surface IoU: 0.0407, Surface F1: 0.0"
"20260610_155803__031__train_guided_head_no_edge_skip_nan_guard_nw0_20260610","True","UNCLEAR","训练配置: |   Skeleton prediction head: enabled (loss weight=0.3) | Epoch 1/60, LR: 5e-05, Train Loss: 0.8968, Val Loss: 0.8370, Surface IoU: 0.1785, Surface F1: 0."
"20260610_232030__032__train_structure_fusion_sk_conn_nw0_20260610","True","ON_legacy_guided_skel","  Skeleton loss weight: 0.05"
"20260611_090609__033__train_structure_fusion_sk_conn_nw0_20260610_2","False","ON_legacy_guided_skel","  Skeleton loss weight: 0.05"
"20260612_092426__034__train_structure_fusion_inner_conn_nw0_20260612","True","ON_legacy_guided_skel","  Skeleton loss weight: 0.05"
"20260615_110629__035__train_structure_top2_conn_residual_nw0_20260615","True","ON_legacy_guided_skel","  Skeleton loss weight: 0.02"
"20260615_235131__036__train_structure_top2_conn_masked_nw0_20260615","True","ON_legacy_guided_skel","  Skeleton loss weight: 0.02"
"20260616_151514__037__train_reskel_skelhead_conn_nw0_20260616","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260617_000249__038__train_reskel_skelhead_conn_w005_nw0_20260617","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.05"
"20260617_152937__039__train_reskel_skelhead_cldice_nw0_20260617","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260618_100626__040__train_multistage_structure_decoder_nw0_20260618","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260618_212951__041__train_multistage_stage3_gamma_clip_nw0_20260618","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260619_095343__042__train_multistage_stage_skel_loss_nw0_20260619","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260619_222510__043__train_multistage_stage23_skel_loss_nw0_20260619","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260620_101512__044__train_boundary_refine_nw0_20260620","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260621_081812__045__train_boundary_refine_no_asterisk_nw0_20260621","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260624_114353__046__train_density_skeleton_film_boundary001_nw0_20260624","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260625_162925__047__train_stage3_global_context_gate_boundary001_nw0_20260625","True","ON_legacy_guided_skel","  Structure head: skeleton + top-2 connectivity residual attention;   Skeleton loss weight: 0.02"
"20260626_164005__048__train_stage23_structure_final_boundary_nw0_20260626","True","OFF_0626_or_disabled","Final heads disabled"
"20260627_163850__049__train_stage23_target64_final_aux_boundary008_20260627","True","OFF_aux_only","Final auxiliary structure: skeleton 0.01 + connectivity 0.005 (loss only)"
"20260628_104744__050__train_maxpool_zhangsuen_stage64_final_aux_20260628","True","OFF_aux_only","Final auxiliary structure: skeleton 0.01 + connectivity 0.005 (loss only)"
"20260628_232545__051__train_nearest_surface_maxpool64_zhangsuen_20260628","True","OFF_aux_only","Final auxiliary structure: skeleton 0.01 + connectivity 0.005 (loss only)"
"20260629_112620__052__train_stage_gate_final_skel_cldice_boundary008_nearest_20260629","True","OFF_aux_only","Final auxiliary skeleton loss weight: 0.02"
"20260630_115015__053__train_topology_attn_teacher_0621_zhangsuen_nw0_20260630","True","ON_final_structure","Final structure: skeleton + ..."
"20260701_104117__054__train_topology_fixed_vA_nw0_20260701","True","ON_final_structure","Final structure: skeleton + ..."
"20260701_235212__055__train_topology_attn_fixed002_dva_off_nw0_20260701","True","ON_final_structure","Final structure: skeleton + ..."
"20260702_111605__056__train_native_topology_alpha000_nw0_20260702","True","ON_final_structure","Final structure: skeleton + ..."
"20260702_233743__057__train_native_topology_lightgate_a002_g005_nw0_20260702","True","ON_final_structure","Final structure: skeleton + ..."
"20260703_111854__058__train_0621_final_topology_repair_eta005_nw0_20260703","True","ON_final_structure","Final structure: skeleton + ..."
"20260704_102908__059__train_structure_only_topology_nw0_20260704","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260705_120621__060__train_local_gap_topology_rho005_nw0_20260705","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_000312__061__train_stage3_topology_tf_nw0_20260706","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_154610__062__train_local_gap_topology_rho005_nw0_20260705_2","False","NO_LOG",""
"20260706_162710__063__train_local_gap_topology_rho005_nw0_20260705_3","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_172112__064__train_local_gap_topology_rho005_nw0_20260705_4","False","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_172309__065__train_local_gap_topology_rho005_nw0_20260705_5","False","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_172500__066__train_local_gap_topology_rho005_nw0_20260705_6","False","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260706_220812__067__train_stage3_gapquery_qkrel_20260706","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260707_091730__068__train_stage3_gapquery_qkrel_20260706_2","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260707_121258__069__train_stage3_roadness_gap_20260707","False","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260707_121457__070__train_stage3_roadness_gap_20260707_2","True","ON_legacy_guided_skel","  Final skeleton loss weight: 0.02"
"20260707_175300__071__train_stage23_graph_prop_nw0","False","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"20260707_175723__072__smoke_graph_prop_fix","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
